week,FR,BE,DE,CH,IT,ES,UK
201500,0.928607635,0.653255426,0.939240139,1,0,0.99705139,0.917226448
201501,0.968414383,0.652921536,0.950447464,1,0,0.99845549,0.917226448
201502,0.957341993,0.649415693,0.947340073,1,0,0.99803426,0.979459279
201503,0.97402186,0.645409015,0.950592476,1,0,0.99761303,1
201504,0.952479012,0.642737896,0.94572423,1,0,0.99803426,0.92233387
201505,0.932583558,0.638898164,0.948065131,1,0,0.99845549,0.946705157
201506,0.919071757,0.633889816,0.944253398,1,0,0.99901713,0.949814023
201507,0.897386346,0.581135225,0.937251409,1,0,0.99873631,0.886970521
201508,0.863076192,0.576961603,0.927142029,1,0,0.99803426,0.924887581
201509,0.821780453,0.57345576,0.924283228,1,0,0.99761303,0.861933048
201510,0.8153968,0.564941569,0.835038946,1,0,0.99705139,0.820851607
201511,0.825898939,0.558430718,0.825965363,0.89,0,0.9971918,0.815244546
201512,0.796420086,0.549582638,0.809682631,0.89,0,0.9971918,0.761894188
201513,0.769760811,0.410684474,0.854429069,0.89,0,0.99620893,0.826014545
201514,0.742040234,0.410517529,0.831724395,0.89,0,0.99733221,0.840670627
201515,0.68990971,0.40984975,0.820682797,0.89,0,0.99620893,0.83439738
201516,0.715095834,0.408681135,0.818776931,0.41,0,0.99199663,0.866651863
201517,0.718501505,0.406343907,0.814074411,0.89,0,0.706402696,0.867984234
201518,0.681292571,0.365442404,0.81546238,0.89,0,0.709632126,0.797535114
201519,0.686012989,0.504674457,0.809972655,0.89,0,0.710755406,0.825736968
201520,0.715460162,0.579465776,0.797501658,0.89,0,0.711457456,0.850552379
201521,0.745224141,0.579465776,0.783766987,0.89,0,0.808761584,0.85005274
201522,0.73223507,0.578797997,0.770923102,0.89,0,0.705419826,0.829178926
201523,0.722715032,0.577128548,0.761994531,0.59,0,0.706683516,0.884527841
201524,0.71877079,0.575959933,0.744634571,0.59,0,0.741926425,0.882695831
201525,0.730175828,0.417028381,0.752423766,0.59,0,0.844987363,0.821295731
201526,0.719055916,0.415525876,0.735623136,0.109080189,0,0.844987363,0.858157997
201527,0.754712498,0.414858097,0.610190527,0.393278302,0,0.885987082,0.868539388
201528,0.770600348,0.412520868,0.60536416,0.397995283,0,0.965037911,0.815744185
201529,0.736860447,0.414023372,0.720139735,0.399764151,0,0.967705701,0.815577638
201530,0.778425471,0.415859766,0.728965089,0.402417453,0,0.965459141,0.810248154
201531,0.720481546,0.414858097,0.815517915,0.292158019,0,0.947627071,0.759007384
201532,0.722271503,0.411519199,0.971179702,0.292158019,0,0.944257231,0.761505579
201533,0.768414383,0.242404007,0.979545402,0.294516509,0,0.940466161,0.806528618
201534,0.714557263,0.414190317,0.970926892,0.293632075,0,0.954085931,0.834341864
201535,0.751607793,0.244741235,0.975385535,0.402417453,0,0.971215951,0.823405318
201536,0.763567242,0.24490818,0.97756889,0.404481132,0,0.971356361,0.826347638
201537,0.703801679,0.403505843,0.971547425,0.403301887,0,0.973462511,0.838005885
201538,0.682987486,0.246076795,0.96741054,0.404775943,0,0.972479641,0.768944651
201539,0.694440044,0.406010017,0.865275447,0.405955189,0,0.844425723,0.889746294
201540,0.738175194,0.40851419,0.858357657,0.775058962,0,0.821398484,0.879753511
201541,0.765547283,0.54457429,0.750316012,0.781544811,0,0.839932603,0.90251485
201542,0.792428323,0.579632721,0.986624072,0.405955189,0,0.842038753,0.90423583
201543,0.782908284,0.507846411,0.99436924,0.404775943,0,0.838388093,0.825237329
201544,0.800871218,0.508347245,0.998138402,0.780070755,0,0.708930076,0.853827791
201545,0.803215587,0.506677796,0.97772977,0.780365566,0,0.769868015,0.871592739
201546,0.82786314,0.50884808,0.993358002,0.783608491,0,0.854675653,0.888913562
201547,0.87549501,0.50951586,1,0.785966981,0,0.856360573,0.906345417
201548,0.901995882,0.50918197,0.992645538,0.784492925,0,0.856079753,0.967023816
201549,0.928512593,0.50951586,0.994828893,0.784787736,0,0.900730132,0.976683506
201550,0.933042927,0.677462437,0.995725219,0.787146226,0,0.99522606,0.970909898
201551,0.878663076,0.748580968,0.98046471,0.892099057,0,0.99803426,0.975850774
201552,0.879518454,0.813355593,0.986440211,0.893278302,0,0.99705139,0.93921057
201600,0.871820054,0.824707846,0.983820183,0.890035377,0,0.99410278,0.920723922
201601,0.932821163,0.995492487,0.992783434,0.891804245,0,0.855237293,0.870371398
201602,0.924394107,0.997328881,0.989726736,0.893573113,0,0.856220163,0.85371676
201603,0.938333597,1,0.992116936,0.894457547,0,0.856641393,0.910175984
201604,0.925518771,0.998998331,0.97278849,0.891214623,0,0.856500983,0.91866985
201605,0.937098052,0.99966611,0.982785962,0.890919811,0,0.856781803,0.860156554
201606,0.893473784,0.996160267,0.982372273,0.891509434,0,0.714125246,0.869094543
201607,0.888420719,0.998497496,0.980855416,0.892688679,0,0.873911823,0.868872481
201608,0.867368921,0.996327212,0.977040289,0.893278302,0,0.99705139,0.864930883
201609,0.852431491,0.834724541,0.976787479,0.893278302,0,0.99887672,0.866429801
201610,0.865277998,0.995158598,0.975983084,0.892393868,0,0.99915754,0.775550991
201611,0.837161413,0.99933222,0.970329342,0.892393868,0,0.99831508,0.796313773
201612,0.806557896,0.995993322,0.958148514,0.891509434,0,0.99789385,0.890523511
201613,0.736306035,0.995659432,0.94557698,0.892099057,0,0.99761303,0.911619386
201614,0.73316965,0.990984975,0.81760934,0.888266509,0,0.99705139,0.925942375
201615,0.710676382,0.923038397,0.614350394,0.887087264,0,0.99747262,0.931882529
201616,0.679265009,0.851919866,0.610236492,0.890330189,0,0.99677057,0.682340532
201617,0.69231744,0.852587646,0.607938223,0.892099057,0,0.99648975,0.732470993
201618,0.678457152,0.689315526,0.59589529,0.890330189,0,0.715529346,0.801754289
201619,0.695786472,0.686978297,0.663970031,0.887087264,0,0.716231396,0.752456559
201620,0.662474259,0.755759599,0.704028866,0.887087264,0,0.716371806,0.833398101
201621,0.66730556,0.758764608,0.631449519,0.871757075,0,0.851446223,0.862543718
201622,0.682591478,0.753923205,0.708602423,0.873231132,0,0.855096883,0.861822017
201623,0.697322984,0.753923205,0.828709982,0.581957547,0,0.99003089,0.838005885
201624,0.68078568,0.762604341,0.822067983,0.581073113,0,0.99382196,0.943152168
201625,0.655393632,0.822036728,0.813610351,0.728773585,0,0.98806515,0.947759951
201626,0.649089181,0.823372287,0.807933626,0.862028302,0,0.985959,0.869816244
201627,0.687818787,0.823873122,0.827813656,0.866450472,0,0.98343162,0.933159385
201628,0.647172501,0.823372287,0.83594953,0.855247642,0,0.9887672,0.945539333
201629,0.611911928,0.816193656,0.731585116,0.83696934,0,0.98567818,0.942263921
201630,0.614747347,0.817028381,0.727034543,0.823997642,0,0.98216793,0.888802532
201631,0.610011088,0.819699499,0.806324837,0.818396226,0,0.98062342,0.858546605
201632,0.638666244,0.860934891,0.85582956,0.392099057,0,0.98244875,0.888247377
201633,0.591984793,0.974958264,0.972995334,0.398584906,0,0.98244875,0.911896963
201634,0.614462221,0.975459098,0.966790008,0.399174528,0,0.98258916,0.937489591
201635,0.600237605,0.97312187,0.936797591,0.397110849,0,0.98006178,0.98079165
201636,0.606922224,0.969782972,0.837834111,0.494103774,0,0.97964055,0.983622939
201637,0.62209726,0.644073456,0.858104847,0.508254717,0,0.98918843,0.928551602
201638,0.618438144,0.648414023,0.984854405,0.50884434,0,0.98750351,0.90362516
201639,0.591176936,0.578797997,0.974006573,0.50884434,0,0.98483572,0.89701882
201640,0.616553144,0.583138564,0.982969823,0.513266509,0,0.9845549,0.805640371
201641,0.648930778,0.582971619,0.983084737,0.513856132,0,0.9873631,0.896685727
201642,0.661603041,0.486143573,0.978258371,0.513561321,0,0.98862679,0.915616499
201643,0.667685728,0.584641068,0.972926386,0.514150943,0,0.98343162,0.876367068
201644,0.676762237,0.661435726,0.973615867,0.514445755,0,0.848497613,0.912007994
201645,0.690258197,0.662270451,0.972512698,0.514740566,0,0.709351306,0.930716705
201646,0.695818153,0.662270451,0.968490727,0.515330189,0,0.710193766,0.93554655
201647,0.752621575,0.663772955,0.952218979,0.513856132,0,0.711176636,0.95120191
201648,0.793933154,0.664607679,0.954494266,0.517393868,0,0.710895816,0.928274024
201649,0.798653572,0.831218698,0.94548505,0.515625,0,0.711176636,0.900738356
201650,0.774639633,0.833388982,0.834823378,0.516509434,0,0.811148554,0.921834231
201651,0.788594963,0.834223706,0.831835628,0.515330189,0,0.99747262,0.92955088
201652,0.845113258,0.835225376,0.601503069,0.515919811,0,0.99761303,0.931327375
201700,0.844131158,0.835392321,0.598974972,0.515330189,0,0.99775344,0.824571143
201701,0.855203548,0.835392321,0.797545449,0.514740566,0,0.99831508,0.858657636
201702,0.872247743,0.835058431,0.789340626,0.516804245,0,0.99803426,0.884472326
201703,0.887375257,0.835225376,0.720737285,0.514740566,0,0.99873631,0.883028924
201704,0.897877396,0.834891486,0.836363218,0.515330189,0,0.99873631,0.887525676
201705,0.894424204,0.834891486,0.832525109,0.515919811,0,0.99873631,0.848276245
201706,0.857151909,0.837395659,0.613132311,0.516214623,0,0.99873631,0.951368456
201707,0.81538096,0.836560935,0.611408609,0.576356132,0,0.99873631,0.953200466
201708,0.769871693,0.83572621,0.653030269,0.86821934,0,0.99803426,0.935324488
201709,0.789038492,0.836227045,0.68231022,0.867334906,0,0.99831508,0.885749181
201710,0.768873753,0.834891486,0.612235986,0.866745283,0,0.99817467,0.885082996
201711,0.754158086,0.832387312,0.609294202,0.86615566,0,0.99817467,0.87953145
201712,0.740773008,0.824540902,0.602238515,0.864681604,0,0.9985959,0.822961195
201713,0.747568509,0.650417362,0.596630737,0.86615566,0,0.99831508,0.840781658
201714,0.735656582,0.486978297,0.586104663,0.864681604,0,0.99634934,0.840004441
201715,0.723839696,0.485642738,0.606651191,0.86379717,0,0.99311991,0.829123411
201716,0.735482338,0.484808013,0.730390017,0.866450472,0,0.99634934,0.829512019
201717,0.747711072,0.48196995,0.728045782,0.86615566,0,0.99634934,0.819741298
201718,0.723633772,0.648247078,0.719863942,0.863207547,0,0.99171581,0.823682896
201719,0.68463488,0.649081803,0.719197444,0.863207547,0,0.851024993,0.816021762
201720,0.712165373,0.704340568,0.718416032,0.862028302,0,0.713282786,0.935213457
201721,0.643180738,0.741235392,0.719036565,0.857900943,0,0.712299916,0.938044745
201722,0.617582766,0.825542571,0.834547586,0.837853774,0,0.709772536,0.935324488
201723,0.666735308,0.849248748,0.842108892,0.556603774,0,0.847514743,0.95902959
201724,0.616283859,0.861101836,0.837696215,0.54009434,0,0.847655153,0.957586188
201725,0.627102804,0.90066778,0.832502125,0.540683962,0,0.845549003,0.893743408
201726,0.618406463,0.907345576,0.828296293,0.794221698,0,0.846251053,0.894742686
201727,0.617503564,0.908681135,0.829146652,0.827240566,0,0.841617523,0.845778049
201728,0.628069064,0.906343907,0.597664959,0.834610849,0,0.834597023,0.784100372
201729,0.65818153,0.97278798,0.594171589,0.830483491,0,0.832912103,0.86692944
201730,0.651259306,0.974457429,0.820505159,0.833136792,0,0.885004212,0.878254594
201731,0.645952796,0.979966611,0.834225828,0.825176887,0,0.968969391,0.919502581
201732,0.62838587,0.979966611,0.88841902,0.826945755,0,0.970654311,0.933936601
201733,0.623253604,0.979298831,0.933189308,0.715212264,0,0.968267341,0.915672015
201734,0.654538254,0.976293823,0.941876767,0.614386792,0,0.965739961,0.923666241
201735,0.65911611,0.980801336,0.936200041,0.616745283,0,0.966020781,0.939266086
201736,0.666117535,0.984808013,0.821999035,0.72317217,0,0.966161191,0.940765003
201737,0.677760177,0.984808013,0.836386201,0.731132075,0,0.963914631,0.886193305
201738,0.690907651,0.829883139,0.838040956,0.463148585,0,0.961246841,0.859767945
201739,0.687676224,0.660434057,0.94523224,0.482311321,0,0.840634653,0.852606451
201740,0.634927927,0.662604341,0.948518765,0.510908019,0,0.840915473,0.849220008
201741,0.6115476,0.661101836,0.950035623,0.486733491,0,0.841055883,0.869760728
201742,0.604102645,0.660434057,0.945806808,0.485554245,0,0.831648413,0.814633876
201743,0.639125614,0.661435726,0.941118338,0.514150943,0,0.830103903,0.914561705
201744,0.655456994,0.66327212,0.945347154,0.513266509,0,0.815080034,0.928773663
201745,0.65526691,0.664440735,0.831720714,0.516214623,0,0.708649256,0.802031866
201746,0.675352447,0.665108514,0.941187286,0.516214623,0,0.709491716,0.838283462
201747,0.7470933,0.791652755,0.941440096,0.515330189,0,0.709210896,0.801809804
201748,0.782654839,0.828714524,0.945531015,0.516804245,0,0.800336984,0.746238828
201749,0.819942975,0.829048414,0.941945715,0.516804245,0,0.99466442,0.747904291
201750,0.823491209,0.829048414,0.940612719,0.517099057,0,0.99648975,0.728751457
201751,0.869539046,0.828547579,0.942750109,0.832252358,0,0.9971918,0.832842947
201752,0.851290987,0.828046745,0.930224541,0.835495283,0,0.99789385,0.868317326
201801,0.886995089,0.828380634,0.984434061,0.832841981,0,0.99873631,0.813801144
201802,0.921035958,0.829382304,0.988135238,0.836084906,0,0.99677057,0.861933048
201803,0.911500079,0.830550918,0.989710206,0.837558962,0,0.99817467,0.851607173
201804,0.925582132,0.829549249,0.986796514,0.837264151,0,0.99817467,0.797146505
201805,0.910644701,0.830217028,0.98850273,0.837558962,0,0.99929795,0.823516349
201806,0.901488991,0.830550918,0.991232675,0.83696934,0,0.99929795,0.834452895
201807,0.903880881,0.830717863,0.988765225,0.83696934,0,0.99929795,0.885360573
201808,0.838824648,0.830884808,0.992230155,0.837264151,0,0.965178321,0.918725365
201809,0.84276889,0.829883139,0.853239185,0.838443396,0,0.99831508,0.836673514
201810,0.811690163,0.831719533,0.848173036,0.834610849,0,0.854254423,0.924387942
201811,0.803437351,0.830050083,0.846440571,0.836674528,0,0.853692783,0.806362072
201812,0.768002534,0.831218698,0.983200336,0.942511792,0,0.853692783,0.87475712
201813,0.732916205,0.830217028,0.97852793,0.943396226,0,0.853973603,0.87658913
201814,0.728512593,0.656427379,0.830218396,0.943101415,0,0.851305813,0.832953978
201815,0.701504831,0.65409015,0.810137547,0.943101415,0,0.710614996,0.777327486
201816,0.697259623,0.653088481,0.804651407,0.938679245,0,0.710614996,0.7766613
201817,0.728670996,0.648747913,0.68799874,0.939858491,0,0.711317046,0.831121967
201818,0.736496119,0.579465776,0.809875053,0.939268868,0,0.711597866,0.851496142
201819,0.651290987,0.576627713,0.808195086,0.9375,0,0.776467284,0.823571865
201820,0.722667511,0.576126878,0.693327384,0.9375,0,0.844004493,0.75550991
